Resort,HPpoints,HPpos,state_data,region_data,elevation_top_m,number_of_slopes,annual_snowfall_cm,Price,Beginner slopes,Intermediate slopes,Difficult slopes,Nightskiing,Summer skiing
Copper Mountain,47.5,63.0,Colorado,Rocky Mountain,3792.0,126.0,625.0,89.0,30.0,40.0,56.0,No,No
Copper Mountain,0.78,186.0,Colorado,Rocky Mountain,3792.0,126.0,625.0,89.0,30.0,40.0,56.0,No,No
Copper Mountain,141.35,37.0,Colorado,Rocky Mountain,3792.0,126.0,625.0,89.0,30.0,40.0,56.0,No,No
Telluride,7.5,81.0,Colorado,Rocky Mountain,3815.0,88.0,760.0,110.0,6.0,51.0,29.0,No,No
Vail,543.1,9.0,Colorado,Rocky Mountain,3527.0,150.0,750.0,127.0,57.0,84.0,93.0,No,No
Vail,65.25,38.0,Colorado,Rocky Mountain,3527.0,150.0,750.0,127.0,57.0,84.0,93.0,No,No
Vail,16.44,101.0,Colorado,Rocky Mountain,3527.0,150.0,750.0,127.0,57.0,84.0,93.0,No,No
Winter Park Resort,113.6,44.0,Colorado,Rocky Mountain,3676.0,39.0,760.0,119.0,11.0,53.0,79.0,No,No
Winter Park Resort,1000.0,2.0,Colorado,Rocky Mountain,3676.0,39.0,760.0,119.0,11.0,53.0,79.0,No,No
Winter Park Resort,606.5,8.0,Colorado,Rocky Mountain,3676.0,39.0,760.0,119.0,11.0,53.0,79.0,No,No
Winter Park Resort,180.15,31.0,Colorado,Rocky Mountain,3676.0,39.0,760.0,119.0,11.0,53.0,79.0,No,No
Mt. Hood Meadows,0.26,207.0,Oregon,Pacific Northwest,2225.0,50.0,1200.0,76.0,13.0,45.0,31.0,Yes,No
